"filename", "language", "Dart", "comment", "blank", "total"
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\main.dart", "Dart", -3, -10, -1, -14
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\fb\fb_push.dart", "Dart", 3, 0, 1, 4
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\home\dashboard.dart", "Dart", 52, 0, 2, 54
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\hospital\hospital_add_cite.dart", "Dart", 69, 0, 2, 71
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\hospital\hospital_dashboard.dart", "Dart", 26, 0, 2, 28
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\login\login.dart", "Dart", 23, 2, 2, 27
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\proyectos\newproyectos.dart", "Dart", -6, 0, 0, -6
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\proyectos\projectdetail.dart", "Dart", 45, 0, 4, 49
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\proyectos\tasksbottom.dart", "Dart", 326, 0, 0, 326
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\tickets\regticket.dart", "Dart", -20, 2, 6, -12
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\tickets\ticketdetail_utils.dart", "Dart", 796, 11, 26, 833
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\tickets\tickets_utils.dart", "Dart", 211, -1, 2, 212
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\tickets\ticketslist.dart", "Dart", -3, 0, 0, -3
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\usuario\newuser.dart", "Dart", 159, 3, 7, 169
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\fields.dart", "Dart", 8, 0, 0, 8
"Total", "-", 1686, 7, 53, 1746